team_name,model_name,model_abbr,model_contributors,website_url,license,team_model_designation,methods,data_inputs,methods_long,team_funding,citation,repo_url,twitter_handles,institution_affil,this_model_is_an_ensemble
"University of Chicago, Chattopadhyay Lab",Universal Influenza-like Transmission Risk,UChicagoCHATTOPADHYAY-UnIT,"Yi Huang (University of Chicago),  Ishanu Chattopadhyay (University of Chicago)<ishanu@uchicago.edu>",https://github.com/zeroknowledgediscovery/unitcov,mit,primary,"Stochastic similarity via sequence likelihood divergence, General Linear Models, Tensorflow, Ensemble Regressors","USAFacts (confirmed cases; reported fatalities),  US Census (population, socioeconomic variables), County-specific incidence count from past Influenza epidemics","We introduce the concept of a universal geo-spatial risk that strongly influences person-to-person viral transmission in the US, in effect quantifying the risk exposure of the individual US counties to diseases thattransmit like the seasonal Influenza. We call this the Universal Influenza-like Transmission (UnIT) score. This new epidemiologically informed risk score leverages subtle geospatial patterns from seasonal flu epidemics of the past, and significantly improves incidence forecasts for COVID-19. Additionally, the UnIT score emerges as the most important factor explaining observed county-specific incidence trends for COVID-19 in the US, with coefficients in multi-variate regression far outweighing those for typical co-variates. Thus, our key insight is that past incidence patterns for a different pathogen can substantially inform current projections, provided the transmission mechanisms are broadly similar. And our key technical contribution is the development of the precise algorithm to transfer this knowledge to the new context, by rigorously estimating thedivergence of hidden generators of complex stochastic phenomena from observation of short sample paths.","Defense Advanced Research Projects Agency (DARPA), Defense Sciences Office (DSO)",NA,NA,NA,NA,NA
UMass-Amherst Influenza Forecasting Center of Excellence,Expert consensus distributions,UMass-ExpertCrowd,thomas mcandrew <mcandrew@umass.edu> Nicholas G. Reich <nick@schoolph.umass.edu>,https://github.com/tomcm39/COVID19_expert_survey,other,other,"A consensus forecast from experts in the modeling of infectious disease, public health, and epidemiology. ",NA,"April 22: Experts in the modeling of infectious disease, public health, and epidemiology provide forecasts of  the smallest, most likely, and largest possible cumulative number of deaths at the US level. We transform each  expert's three estimates into a triangular probability distribution and take an equally-weighted average of  expert predictive densities.",CDC,NA,NA,NA,NA,NA
UMass-Amherst,MechBayes,UMass-MechBayes,"Dan Sheldon<sheldon@cs.umass.edu>, Graham Gibson<gcgibson@umass.edu>, Nick Reich",https://github.com/dsheldon/covid,cc-by-4.0,primary,Bayesian compartmental model with observations on cumulative case counts and cumulative deaths. Model is fit independently to each state. Model includes observation noise and a case detection rate. ,JHU -CSSEGISandData,See GitHub for full description,This model development is supported by NIGMS grant R35GM119582. The content is solely the responsibility of the authors and does not necessarily represent the official views of NIGMS or the National Institutes of Health.,NA,NA,NA,NA,NA
The University of Michigan,RidgeTensorFlowRegressor,UMich-RidgeTfReg,"Sabrina Corsetti (University of Michigan Department of Physics) <sabcorse@umich.edu>, Robert Myers (University of Michigan Department of Physics) <romyers@umich.edu>, Yitao Huang (University of Michigan Department of Physics) <yitao@umich.edu>, Karl Falb (University of Michigan Department of Physics) <falbkarl@umich.edu>, Thomas Schwarz (University of Michigan Department of Physics) <schwarzt@umich.edu>",https://gitlab.com/sabcorse/covid-19-collaboration,cc-by-4.0,primary,Nation-level model of confirmed cases and deaths based on ridge regression.  No assumptions made about social distancing.,NA,"This model uses ridge regression (penalized Ordinary Least Squares regression) to make predictions about future confirmed case and mortality trends.  The model makes forecasts based solely on previous data, so no external  assumptions are necessary.    
The ridge regressors built for this model use Finite Impulse Response (FIR)  filtration to predict each day's confirmed cases and deaths as a function of  the counts on previous days. Specifically, each day's counts are predicted as  a linear combination of the counts on a user-specified number of previous days.  The goal of the regressors is the determination of an optimal coefficient vector  for these predictive linear combinations. The model currently makes predictions  based on the previous 14 days.
Once the regressors are created, bootstrapping is used to create a spectrum of predictions, from which quantiles are determined.",University of Michigan Physics Department; University of Michigan Office of Research,NA,NA,NA,NA,NA
US Army Engineer Research and Development Center,ERDC_SEIR,USACE-ERDC_SEIR,"Michael L. Mayo <Michael.L.Mayo@erdc.dren.mil>, Michael A. Rowland <Michael.A.Rowland@erdc.dren.mil>,  Matthew D. Parno <Matthew.D.Parno@erdc.dren.mil>, Ian D. Detwiller <Ian.D.Dettwiller@erdc.dren.mil>, Matthew W. Farthing <Matthew.W.Farthing@erdc.dren.mil>, William P. England <William.P.England@erdc.dren.mil>, Glover E. George <glover.e.george@erdc.dren.mil>",https://github.com/erdc-cv19/seir-model,other,primary,"The ERDC SEIR model makes predictions of several variables (e.g., reported new/cumulative cases  per day, etc.). Model parameters are estimated using historical data using Bayesian inference.","USA FACTS, JHU COVID-19 Git Repo","The ERDC SEIR model is a process-based model that mathematically describes the virus  dynamics in a population center (e.g., state, CBSA) using assumptions that are common  in compartmental models: (i)   modeled populations are large enough that fluctuations in the disease  states grow slower than averages (i.e., coefficient of variation < 1) (ii)  recovered individuals are neither infectious nor become susceptible to  further infection.
The model is similar to classic SEIR models but with additional compartments for  unreported infections and isolated individuals.  Model parameters describing reporting  rates and transmission rates are allowed to vary in time over over the historical  record as social and policy factors change.  Forecasts into the future, however,  are made under the assumption that the parameters are held constant in time.
The model parameters are estimated from observations of the cumulative number of  cases using a Bayesian approach. Information from subject matter experts (SMEs) is  used to develop a prior probability distribution over the model parameters.  This  then combined with a statistical model of the model-data mismatch to produce a posterior  probability distribution over the model parameters that incorporates both the cumulative  observations and subject matter expertise.  The parameters that maximize the posterior  probability density are used to make forecasts into the future.  The effective reproduction  number is computed using the next-generation matrix method.
Deaths are estimated from this model through a procedure which leverages state-level  data on recoveries and fatalities.",US Army Geospatial Task Force,NA,NA,NA,NA,NA
University of Southern California Data Science Lab,SI_kJalpha,USC-SI_kJalpha,"Ajitesh Srivastava <ajiteshs@usc.edu>, Viktor K. Prasanna <prasanna@usc.edu>, Frost Tianjian Xu",https://scc-usc.github.io/ReCOVER-COVID-19,mit,primary,A heterogeneous infection rate model with human mobility for epidemic modeling. Our model adapts to changing trends and provide predictions of confirmed cases and deaths.,JHU,"We use our own epidemic model called SI-kJalpha, preliminary version of which we have successfully used during DARPA Grand Challenge 2014. Our model can consider the effect of many complexities of the epidemic process and yet be simplified to a few parameters that are learned using fast linear regressions. Therefore, our approach can learn and generate forecasts extremely quickly. On a 2 core desktop machine, our approach takes only 3.18s to tune hyper-parameters, learn parameters and generate 100 days of forecasts of reported cases and deaths for all the states in the US. The total execution time for 184 countries is 11.83s and for more than 3000 US counties is 101.03s. Despite being fast, the accuracy of our forecasts is on par with the state-of-the-art as demonstrated on the leaderboard page. at https://scc-usc.github.io/ReCOVER-COVID-19. Our model is able to quickly adapt to changing trends, and the variations in parameters during different times/policies allow us to forecast different scenarios such as what would happen if we were to disregard social distancing suggestions. For each state, we model hospitalizations as a separate compartment, as a linear function of recent cases with heterogeneous rates. This means that for some hyper-parameter J, those who were infected at time t-1 to t-J will have a separate rate from those infected at t-(J+1) to t-2J, and so on. This is similar to how we perform death forecasts. For long-term forecasts (more than a few days in the future), the cases are forecasted first based on our SIkJalpha model, which forms the input to hospitalization prediction. While we account for changing trends by putting more emphasis on recently seen data, we assume that the trends will remain the same in the future for our point forecasts. We try to account for changing trends in the future in our quantile forecasts by modeling the empirical error our approach makes using a Random Forest.",Supported by US National Science Foundation Award No. 2027007 (RAPID),https://arxiv.org/abs/2007.05180,https://github.com/scc-usc/ReCOVER-COVID-19,NA,NA,NA
University of Southern California Data Science Lab,SI_kJalpha_RF,USC-SI_kJalpha_RF,"Ajitesh Srivastava <ajiteshs@usc.edu>, Viktor K. Prasanna <prasanna@usc.edu>, Frost Tianjian Xu",https://scc-usc.github.io/ReCOVER-COVID-19,mit,other,A heterogeneous infection rate model with human mobility for epidemic modeling. Our model adapts to changing trends and provide predictions of confirmed cases and deaths.,JHU,"We use our own epidemic model called SI-kJalpha, preliminary version of which we have successfully used during DARPA Grand Challenge 2014. Our model can consider the effect of many complexities of the epidemic process and yet be simplified to a few parameters that are learned using fast linear regressions. Therefore, our approach can learn and generate forecasts extremely quickly. On a 2 core desktop machine, our approach takes only 3.18s to tune hyper-parameters, learn parameters and generate 100 days of forecasts of reported cases and deaths for all the states in the US. The total execution time for 184 countries is 11.83s and for more than 3000 US counties is 101.03s. Despite being fast, the accuracy of our forecasts is on par with the state-of-the-art as demonstrated on the leaderboard page. at https://scc-usc.github.io/ReCOVER-COVID-19. Our model is able to quickly adapt to changing trends, and the variations in parameters during different times/policies allow us to forecast different scenarios such as what would happen if we were to disregard social distancing suggestions. We build a random forest, based on the output of USC_SIkJalpha model along with the data on the cumulative case/death, weekly increase, and previous increase. We then sample trees to generate quantile forecasts",Supported by US National Science Foundation Award No. 2027007 (RAPID),https://arxiv.org/abs/2007.05180,https://github.com/scc-usc/ReCOVER-COVID-19,NA,NA,NA
UT-Austin COVID-19 Consortium,Mobility,UT-Mobility,"Spencer Woody<spencer.woody@utexas.edu>, et al.",https://covid-19.tacc.utexas.edu/projections/,other,primary,"This model makes predictions assuming that social distancing patterns, as measured by anonymized mobile-phone GPS traces,  remain constant in the future.This model models only *first-wave deaths*.",JHU CSSE,"For each US state, we use local data from mobile-phone GPS traces made available by [SafeGraph] to quantify the changing impact of social-distancing measures on ``flattening the curve.''  SafeGraph is a data company that aggregates anonymized location data from numerous applications in order to provide insights about physical places. To enhance privacy, SafeGraph excludes census block group information if fewer than five devices visitedan establishment in a month from a given census block group.  These data are aggregated by state to create metrics of social distancing, which are used as predictors in the model. We use a Bayesian multilevel negative binomial regression model for the number of deaths for each day, and implement the model in R using the rstanarm package. See technical report at https://covid-19.tacc.utexas.edu/media/filer_public/87/63/87635a46-b060-4b5b-a3a5-1b31ab8e0bc6/ut_covid-19_mortality_forecasting_model_latest.pdf",NSF,NA,NA,NA,NA,NA
"University of Virginia, Biocomplexity COVID-19 Response Team",Ensemble model,UVA-Ensemble,"Aniruddha Adiga (UVA)<aniruddha@virginia.edu>,  Lijing Wang(UVA), Srinivasan Venkatramanan (UVA), Akhil Sai Peddireddy (UVA), Benjamin Hurt (UVA), Bryan Lewis (UVA), Madhav Marathe (UVA), Jiangzhou Chen, Anil Vullikanti.",https://biocomplexity.virginia.edu/,cc-by-4.0,primary,"An ensemble of multiple methods such as auto-regressive (AR) models with exogenous variables, Long short-term memory (lSTM) models, and PatchSim (an SEIR model).",NA,"This is a US national, state, and  county-level multi-method model forecasting the new confirmed cases. Multiple methods include AR methods with exogenous variables such as mobility, other county case counts time-series, an LSTM model with mobility data as additional predictor, and PatchSim, variant of SEIR with interaction  between counties modeled using commuter data (model calibrated on new confirmed cases). The model forecasts are combined using Bayesian model averaging.",NA,NA,NA,NA,NA,NA
Walmart Labs Data Science Team,Prophet Logistic Forecasting,WalmartLabsML-LogForecasting,"Prakhar Mehrotra (Team Leader - Vice President, Walmart), <Prakhar.Mehrotra@walmart.com>, Ivan JI (lead modeler - Senior Machine Learning Engineer, Walmart Labs), and the Walmart Labs COVID-19 Team",https://github.com/ivan-ji-walmart/covid19-forecast-hub,cc-by-4.0,primary,(State) A logistic growth prophet forecasting model fit using case counts and deaths as features.,JHU CSSE confirmed case counts and deaths,The Model is built by Propeht model with logistic growths to forecast the US cumulative deaths. By sampling from uniform distribution to get the quantiles.,Walmart,NA,NA,NA,NA,NA
Youyang Gu (YYG),ParamSearch,YYG-ParamSearch,Youyang Gu <covid19projections@gmail.com>,https://covid19-projections.com,cc-by-4.0,primary,An SEIR model that makes daily infections and deaths projections for US states. A machine learning layer learns the best parameters/inputs for each state. The model accounts for state reopenings.,JHU,"We've built a SEIR model with learned parameters to make daily projections regarding COVID-19 infections and deaths in all 50 US states and 70+ countries. The model also accounts for individual state-by-state reopenings and the resulting effects on infections and deaths. The parameters/inputs of this simulator are learned using hyperparameter optimization that minimizes the error between the projected outputs (projected daily deaths) and the actual results (reported daily deaths). Because the infections curve is unique for every region, we let the model use each region's own data to learn the best set of parameters for that region. This includes parameters such as: mortality rate, initial R_0, post-lockdown R, and the inflection date of any lockdowns. Other variables such as the latency period, infectious period, and virus shedding period are fixed based on published literature. After some additional validation techniques to minimize overfitting, we use the learned parameters to simulate the future and make projections. See website for full description, methods, and results.",NA,https://covid19-projections.com/about/,https://github.com/youyanggu/covid19_projections,youyanggu,NA,NA
Berkeley Yu Group,Combined Linear and Exponential Predictor (CLEP),Yu_Group-CLEP,"Bin Yu (UC Berkeley) <binyu@berkeley.edu>,  Nick Altieri (UC Berkeley),  Rebecca L Barter (UC Berkeley),  James Duncan (UC Berkeley),  Raaz Dwivedi (UC Berkeley),  Karl Kumbier (UC Berkeley), Xiao Li (UC Berkeley),  Robert Netzorg (UC Berkeley),  Briton Park (UC Berkeley),  Chandan Singh (UC Berkeley),  Yan Shuo Tan (UC Berkeley),  Tiffany Tang (UC Berkeley),  Chao Zhang (UC Berkeley),  Abhineet Agarwal (UC Berkeley), Maya Shen (UC Berkeley),  Danqing Wang (UC Berkeley)",covidseverity.com,cc-by-4.0,primary,Ensemble of a linear and exponential predictor (CLEP) for forecasting county-level deaths and cases with prediction intervals. CLEP weighs each method by its recent historical prediction performance,NA,NA,NA,NA,NA,NA,NA,NA
EpiForecasts group at the London School of Hygiene & Tropical Medicine,ensemble1,epiforecasts-ensemble1,"Katharine Sherratt (LSHTM)<katharine.sherratt@lshtm.ac.uk>,  Nikos Bosse (LSHTM),  Sam Abbott (LSHTM),  Sophie Meakin (LSHTM),  Joel Hellewell (LSHTM),  James Munday (LSHTM),  Sebastian Funk (LSHTM)<sebastian.funk@lshtm.ac.uk>",https://github.com/epiforecasts/covid-us-deaths,mit,primary,"A deaths forecast using a mean ensemble of three different models: An Rt based forecast, a timeseries forecast using deaths only and a timeseries forecast using deaths and cases. ",JHU CSSE case and death data,2020-06-15: A deaths forecast using the renewal equation and time-series forecasts of the time-varying reproduction number; to be updated as an ensemble forecast. 2020-07-13: The models included are: 1) A deaths forecast using the renewal equation to estimate Rt and project it into the future. For details see github.com/epiforecasts/EpiSoon and github.com/epiforecasts/EpiNow. 2) A timeseries based on the forecastHybrid package and 3) a second timeseries model that also uses cases as a predictor. ,Wellcome Trust,https://doi.org/10.12688/wellcomeopenres.16006.1,https://github.com/epiforecasts/covid-us-deaths,NA,NA,NA
